TICKER,COMPANY_NAME,SECTOR,SUB_SECTOR,LISTED_SHARES,FREE_FLOAT_PCT,IS_LQ45,IS_ACTIVE
BBCA,Bank Central Asia Tbk,Finance,Banking,,,TRUE,TRUE
BBRI,Bank Rakyat Indonesia Tbk,Finance,Banking,,,TRUE,TRUE
BMRI,Bank Mandiri Tbk,Finance,Banking,,,TRUE,TRUE
BBNI,Bank Negara Indonesia Tbk,Finance,Banking,,,TRUE,TRUE
BRIS,Bank Syariah Indonesia Tbk,Finance,Banking,,,TRUE,TRUE
BTPS,Bank BTPN Syariah Tbk,Finance,Banking,,,FALSE,TRUE
BNGA,Bank CIMB Niaga Tbk,Finance,Banking,,,TRUE,TRUE
BJBR,Bank Pembangunan Daerah Jawa Barat Tbk,Finance,Banking,,,TRUE,TRUE
BNII,Bank Maybank Indonesia Tbk,Finance,Banking,,,FALSE,TRUE
PNBN,Bank Pan Indonesia Tbk,Finance,Banking,,,TRUE,TRUE
ADMF,Adira Dinamika Multi Finance Tbk,Finance,Multifinance,,,FALSE,TRUE
BFIN,BFI Finance Indonesia Tbk,Finance,Multifinance,,,FALSE,TRUE
WOMF,Wahana Ottomitra Multiartha Tbk,Finance,Multifinance,,,FALSE,TRUE
UNVR,Unilever Indonesia Tbk,Consumer,FMCG,,,TRUE,TRUE
ICBP,Indofood CBP Sukses Makmur Tbk,Consumer,Food & Beverage,,,TRUE,TRUE
INDF,Indofood Sukses Makmur Tbk,Consumer,Food & Beverage,,,TRUE,TRUE
MYOR,Mayora Indah Tbk,Consumer,Food & Beverage,,,TRUE,TRUE
KLBF,Kalbe Farma Tbk,Consumer,Pharmaceuticals,,,TRUE,TRUE
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk,Consumer,Pharmaceuticals,,,TRUE,TRUE
KAEF,Kimia Farma Tbk,Consumer,Pharmaceuticals,,,FALSE,TRUE
GGRM,Gudang Garam Tbk,Consumer,Tobacco,,,TRUE,TRUE
HMSP,HM Sampoerna Tbk,Consumer,Tobacco,,,TRUE,TRUE
WIIM,Wismilak Inti Makmur Tbk,Consumer,Tobacco,,,FALSE,TRUE
ULTJ,Ultra Jaya Milk Industry Tbk,Consumer,Food & Beverage,,,TRUE,TRUE
CPIN,Charoen Pokphand Indonesia Tbk,Consumer,Poultry,,,TRUE,TRUE
JPFA,Japfa Comfeed Indonesia Tbk,Consumer,Poultry,,,TRUE,TRUE
MAIN,Malindo Feedmill Tbk,Consumer,Poultry,,,FALSE,TRUE
ADES,Akasha Wira International Tbk,Consumer,Food & Beverage,,,FALSE,TRUE
DLTA,Delta Djakarta Tbk,Consumer,Food & Beverage,,,FALSE,TRUE
TLKM,Telkom Indonesia Tbk,Infrastructure,Telecommunication,,,TRUE,TRUE
EXCL,XL Axiata Tbk,Infrastructure,Telecommunication,,,TRUE,TRUE
ISAT,Indosat Tbk,Infrastructure,Telecommunication,,,TRUE,TRUE
TBIG,Tower Bersama Infrastructure Tbk,Infrastructure,Tower,,,FALSE,TRUE
TOWR,Sarana Menara Nusantara Tbk,Infrastructure,Tower,,,TRUE,TRUE
JSMR,Jasa Marga Tbk,Infrastructure,Toll Road,,,TRUE,TRUE
WIKA,Wijaya Karya Tbk,Infrastructure,Construction,,,FALSE,TRUE
WSKT,Waskita Karya Tbk,Infrastructure,Construction,,,FALSE,TRUE
PTPP,PP Tbk,Infrastructure,Construction,,,FALSE,TRUE
ADHI,Adhi Karya Tbk,Infrastructure,Construction,,,FALSE,TRUE
ADRO,Adaro Energy Indonesia Tbk,Mining,Coal,,,TRUE,TRUE
PTBA,Bukit Asam Tbk,Mining,Coal,,,TRUE,TRUE
ITMG,Indo Tambangraya Megah Tbk,Mining,Coal,,,TRUE,TRUE
HRUM,Harum Energy Tbk,Mining,Coal,,,TRUE,TRUE
